ID,Pollster,Date,Region,Riding,Party,Vote,nw,nu
1,Leger,2021-01-04,ATL,,LIB,48,75,76
1,Leger,2021-01-04,ATL,,CON,17,75,76
1,Leger,2021-01-04,ATL,,NDP,24,75,76
1,Leger,2021-01-04,ATL,,BQ,,75,76
1,Leger,2021-01-04,ATL,,GRN,7,75,76
1,Leger,2021-01-04,ATL,,OTH,4,75,76
1,Leger,2021-01-04,QC,,LIB,33,291,325
1,Leger,2021-01-04,QC,,CON,20,291,325
1,Leger,2021-01-04,QC,,NDP,11,291,325
1,Leger,2021-01-04,QC,,BQ,30,291,325
1,Leger,2021-01-04,QC,,GRN,5,291,325
1,Leger,2021-01-04,QC,,OTH,1,291,325
1,Leger,2021-01-04,ON,,LIB,37,471,500
1,Leger,2021-01-04,ON,,CON,32,471,500
1,Leger,2021-01-04,ON,,NDP,22,471,500
1,Leger,2021-01-04,ON,,BQ,,471,500
1,Leger,2021-01-04,ON,,GRN,5,471,500
1,Leger,2021-01-04,ON,,OTH,3,471,500
1,Leger,2021-01-04,MB/SK,,LIB,29,82,105
1,Leger,2021-01-04,MB/SK,,CON,43,82,105
1,Leger,2021-01-04,MB/SK,,NDP,25,82,105
1,Leger,2021-01-04,MB/SK,,BQ,,82,105
1,Leger,2021-01-04,MB/SK,,GRN,1,82,105
1,Leger,2021-01-04,MB/SK,,OTH,2,82,105
1,Leger,2021-01-04,AB,,LIB,26,145,109
1,Leger,2021-01-04,AB,,CON,47,145,109
1,Leger,2021-01-04,AB,,NDP,18,145,109
1,Leger,2021-01-04,AB,,BQ,,145,109
1,Leger,2021-01-04,AB,,GRN,7,145,109
1,Leger,2021-01-04,AB,,OTH,2,145,109
1,Leger,2021-01-04,BC,,LIB,35,174,127
1,Leger,2021-01-04,BC,,CON,25,174,127
1,Leger,2021-01-04,BC,,NDP,26,174,127
1,Leger,2021-01-04,BC,,BQ,,174,127
1,Leger,2021-01-04,BC,,GRN,10,174,127
1,Leger,2021-01-04,BC,,OTH,3,174,127
1,Leger,2021-01-04,CAN,,LIB,35,1238,1242
1,Leger,2021-01-04,CAN,,CON,30,1238,1242
1,Leger,2021-01-04,CAN,,NDP,20,1238,1242
1,Leger,2021-01-04,CAN,,BQ,7,1238,1242
1,Leger,2021-01-04,CAN,,GRN,6,1238,1242
1,Leger,2021-01-04,CAN,,OTH,2,1238,1242
2,Leger,2020-12-14,ATL,,LIB,49,66,72
2,Leger,2020-12-14,ATL,,CON,20,66,72
2,Leger,2020-12-14,ATL,,NDP,21,66,72
2,Leger,2020-12-14,ATL,,BQ,,66,72
2,Leger,2020-12-14,ATL,,GRN,3,66,72
2,Leger,2020-12-14,ATL,,OTH,6,66,72
2,Leger,2020-12-14,QC,,LIB,33,292,338
2,Leger,2020-12-14,QC,,CON,21,292,338
2,Leger,2020-12-14,QC,,NDP,11,292,338
2,Leger,2020-12-14,QC,,BQ,30,292,338
2,Leger,2020-12-14,QC,,GRN,4,292,338
2,Leger,2020-12-14,QC,,OTH,1,292,338
2,Leger,2020-12-14,ON,,LIB,42,476,499
2,Leger,2020-12-14,ON,,CON,28,476,499
2,Leger,2020-12-14,ON,,NDP,22,476,499
2,Leger,2020-12-14,ON,,BQ,,476,499
2,Leger,2020-12-14,ON,,GRN,7,476,499
2,Leger,2020-12-14,ON,,OTH,2,476,499
2,Leger,2020-12-14,MB/SK,,LIB,20,78,103
2,Leger,2020-12-14,MB/SK,,CON,42,78,103
2,Leger,2020-12-14,MB/SK,,NDP,29,78,103
2,Leger,2020-12-14,MB/SK,,BQ,,78,103
2,Leger,2020-12-14,MB/SK,,GRN,4,78,103
2,Leger,2020-12-14,MB/SK,,OTH,5,78,103
2,Leger,2020-12-14,AB,,LIB,24,140,109
2,Leger,2020-12-14,AB,,CON,52,140,109
2,Leger,2020-12-14,AB,,NDP,21,140,109
2,Leger,2020-12-14,AB,,BQ,,140,109
2,Leger,2020-12-14,AB,,GRN,2,140,109
2,Leger,2020-12-14,AB,,OTH,1,140,109
2,Leger,2020-12-14,BC,,LIB,28,171,127
2,Leger,2020-12-14,BC,,CON,23,171,127
2,Leger,2020-12-14,BC,,NDP,43,171,127
2,Leger,2020-12-14,BC,,BQ,,171,127
2,Leger,2020-12-14,BC,,GRN,4,171,127
2,Leger,2020-12-14,BC,,OTH,1,171,127
2,Leger,2020-12-14,CAN,,LIB,35,1223,1248
2,Leger,2020-12-14,CAN,,CON,29,1223,1248
2,Leger,2020-12-14,CAN,,NDP,23,1223,1248
2,Leger,2020-12-14,CAN,,BQ,7,1223,1248
2,Leger,2020-12-14,CAN,,GRN,5,1223,1248
2,Leger,2020-12-14,CAN,,OTH,2,1223,1248
3,Abacus,2020-12-18,CAN,,LIB,35,2200,2200
3,Abacus,2020-12-18,CAN,,CON,32,2200,2200
3,Abacus,2020-12-18,CAN,,NDP,17,2200,2200
3,Abacus,2020-12-18,CAN,,BQ,7,2200,2200
3,Abacus,2020-12-18,CAN,,GRN,7,2200,2200
3,Abacus,2020-12-18,CAN,,OTH,2,2200,2200
4,Mainstreet,2020-12-17,ATL,,LIB,34.5,83,75
4,Mainstreet,2020-12-17,ATL,,CON,38,83,75
4,Mainstreet,2020-12-17,ATL,,NDP,10,83,75
4,Mainstreet,2020-12-17,ATL,,BQ,,83,75
4,Mainstreet,2020-12-17,ATL,,GRN,14.3,83,75
4,Mainstreet,2020-12-17,ATL,,PPC,2.3,83,75
4,Mainstreet,2020-12-17,ATL,,OTH,0.8,83,75
4,Mainstreet,2020-12-17,QC,,LIB,45.6,283,313
4,Mainstreet,2020-12-17,QC,,CON,16.7,283,313
4,Mainstreet,2020-12-17,QC,,NDP,9.2,283,313
4,Mainstreet,2020-12-17,QC,,BQ,21.2,283,313
4,Mainstreet,2020-12-17,QC,,GRN,4.8,283,313
4,Mainstreet,2020-12-17,QC,,PPC,1.3,283,313
4,Mainstreet,2020-12-17,QC,,OTH,1.2,283,313
4,Mainstreet,2020-12-17,ON,,LIB,43.6,465,446
4,Mainstreet,2020-12-17,ON,,CON,32.1,465,446
4,Mainstreet,2020-12-17,ON,,NDP,12.3,465,446
4,Mainstreet,2020-12-17,ON,,BQ,,465,446
4,Mainstreet,2020-12-17,ON,,GRN,7.3,465,446
4,Mainstreet,2020-12-17,ON,,PPC,2.1,465,446
4,Mainstreet,2020-12-17,ON,,OTH,2.6,465,446
4,Mainstreet,2020-12-17,MB/SK,,LIB,21.2,79,77
4,Mainstreet,2020-12-17,MB/SK,,CON,52.6,79,77
4,Mainstreet,2020-12-17,MB/SK,,NDP,18.5,79,77
4,Mainstreet,2020-12-17,MB/SK,,BQ,,79,77
4,Mainstreet,2020-12-17,MB/SK,,GRN,3.9,79,77
4,Mainstreet,2020-12-17,MB/SK,,PPC,2.3,79,77
4,Mainstreet,2020-12-17,MB/SK,,OTH,1.5,79,77
4,Mainstreet,2020-12-17,AB,,LIB,23.8,137,142
4,Mainstreet,2020-12-17,AB,,CON,54.9,137,142
4,Mainstreet,2020-12-17,AB,,NDP,12.4,137,142
4,Mainstreet,2020-12-17,AB,,BQ,,137,142
4,Mainstreet,2020-12-17,AB,,GRN,3,137,142
4,Mainstreet,2020-12-17,AB,,PPC,3.5,137,142
4,Mainstreet,2020-12-17,AB,,OTH,2.4,137,142
4,Mainstreet,2020-12-17,BC,,LIB,29.9,165,160
4,Mainstreet,2020-12-17,BC,,CON,34.6,165,160
4,Mainstreet,2020-12-17,BC,,NDP,21.5,165,160
4,Mainstreet,2020-12-17,BC,,BQ,,165,160
4,Mainstreet,2020-12-17,BC,,GRN,9.1,165,160
4,Mainstreet,2020-12-17,BC,,PPC,3.7,165,160
4,Mainstreet,2020-12-17,BC,,OTH,1.2,165,160
4,Mainstreet,2020-12-17,CAN,,LIB,37.9,1213,1213
4,Mainstreet,2020-12-17,CAN,,CON,33.2,1213,1213
4,Mainstreet,2020-12-17,CAN,,NDP,13.1,1213,1213
4,Mainstreet,2020-12-17,CAN,,BQ,4.9,1213,1213
4,Mainstreet,2020-12-17,CAN,,GRN,6.7,1213,1213
4,Mainstreet,2020-12-17,CAN,,PPC,2.3,1213,1213
4,Mainstreet,2020-12-17,CAN,,OTH,1.9,1213,1213
5,Research Co,2020-12-17,CAN,,LIB,37,1000,1000
5,Research Co,2020-12-17,CAN,,CON,31,1000,1000
5,Research Co,2020-12-17,CAN,,NDP,20,1000,1000
5,Research Co,2020-12-17,CAN,,BQ,7,1000,1000
5,Research Co,2020-12-17,CAN,,GRN,3,1000,1000
5,Research Co,2020-12-17,CAN,,PPC,1,1000,1000
5,Research Co,2020-12-17,CAN,,OTH,1,1000,1000
6,Ipsos,2021-01-06,ATL,,LIB,43,,
6,Ipsos,2021-01-06,ATL,,CON,25,,
6,Ipsos,2021-01-06,ATL,,NDP,25,,
6,Ipsos,2021-01-06,ATL,,BQ,,,
6,Ipsos,2021-01-06,ATL,,GRN,9,,
6,Ipsos,2021-01-06,ATL,,OTH,0,,
6,Ipsos,2021-01-06,QC,,LIB,32,,
6,Ipsos,2021-01-06,QC,,CON,16,,
6,Ipsos,2021-01-06,QC,,NDP,13,,
6,Ipsos,2021-01-06,QC,,BQ,27,,
6,Ipsos,2021-01-06,QC,,GRN,9,,
6,Ipsos,2021-01-06,QC,,OTH,3,,
6,Ipsos,2021-01-06,ON,,LIB,42,,
6,Ipsos,2021-01-06,ON,,CON,29,,
6,Ipsos,2021-01-06,ON,,NDP,21,,
6,Ipsos,2021-01-06,ON,,BQ,,,
6,Ipsos,2021-01-06,ON,,GRN,6,,
6,Ipsos,2021-01-06,ON,,OTH,2,,
6,Ipsos,2021-01-06,MB/SK,,LIB,34,,
6,Ipsos,2021-01-06,MB/SK,,CON,40,,
6,Ipsos,2021-01-06,MB/SK,,NDP,23,,
6,Ipsos,2021-01-06,MB/SK,,BQ,,,
6,Ipsos,2021-01-06,MB/SK,,GRN,3,,
6,Ipsos,2021-01-06,MB/SK,,OTH,0,,
6,Ipsos,2021-01-06,AB,,LIB,21,,
6,Ipsos,2021-01-06,AB,,CON,56,,
6,Ipsos,2021-01-06,AB,,NDP,18,,
6,Ipsos,2021-01-06,AB,,BQ,,,
6,Ipsos,2021-01-06,AB,,GRN,3,,
6,Ipsos,2021-01-06,AB,,OTH,2,,
6,Ipsos,2021-01-06,BC,,LIB,35,,
6,Ipsos,2021-01-06,BC,,CON,26,,
6,Ipsos,2021-01-06,BC,,NDP,21,,
6,Ipsos,2021-01-06,BC,,BQ,,,
6,Ipsos,2021-01-06,BC,,GRN,16,,
6,Ipsos,2021-01-06,BC,,OTH,2,,
6,Ipsos,2021-01-06,CAN,,LIB,36,1000,1000
6,Ipsos,2021-01-06,CAN,,CON,29,1000,1000
6,Ipsos,2021-01-06,CAN,,NDP,19,1000,1000
6,Ipsos,2021-01-06,CAN,,BQ,6,1000,1000
6,Ipsos,2021-01-06,CAN,,GRN,8,1000,1000
6,Ipsos,2021-01-06,CAN,,OTH,2,1000,1000
7,Abacus,2021-01-12,ATL,,LIB,38,,
7,Abacus,2021-01-12,ATL,,CON,29,,
7,Abacus,2021-01-12,ATL,,NDP,17,,
7,Abacus,2021-01-12,ATL,,BQ,,,
7,Abacus,2021-01-12,ATL,,GRN,9,,
7,Abacus,2021-01-12,ATL,,PPC,5,,
7,Abacus,2021-01-12,ATL,,OTH,1,,
7,Abacus,2021-01-12,QC,,LIB,37,,
7,Abacus,2021-01-12,QC,,CON,14,,
7,Abacus,2021-01-12,QC,,NDP,9,,
7,Abacus,2021-01-12,QC,,BQ,35,,
7,Abacus,2021-01-12,QC,,GRN,5,,
7,Abacus,2021-01-12,QC,,PPC,0,,
7,Abacus,2021-01-12,QC,,OTH,1,,
7,Abacus,2021-01-12,ON,,LIB,42,,
7,Abacus,2021-01-12,ON,,CON,32,,
7,Abacus,2021-01-12,ON,,NDP,17,,
7,Abacus,2021-01-12,ON,,BQ,,,
7,Abacus,2021-01-12,ON,,GRN,7,,
7,Abacus,2021-01-12,ON,,PPC,1,,
7,Abacus,2021-01-12,ON,,OTH,0,,
7,Abacus,2021-01-12,MB/SK,,LIB,19,,
7,Abacus,2021-01-12,MB/SK,,CON,46,,
7,Abacus,2021-01-12,MB/SK,,NDP,24,,
7,Abacus,2021-01-12,MB/SK,,BQ,,,
7,Abacus,2021-01-12,MB/SK,,GRN,3,,
7,Abacus,2021-01-12,MB/SK,,PPC,5,,
7,Abacus,2021-01-12,MB/SK,,OTH,4,,
7,Abacus,2021-01-12,AB,,LIB,21,,
7,Abacus,2021-01-12,AB,,CON,54,,
7,Abacus,2021-01-12,AB,,NDP,18,,
7,Abacus,2021-01-12,AB,,BQ,,,
7,Abacus,2021-01-12,AB,,GRN,2,,
7,Abacus,2021-01-12,AB,,PPC,2,,
7,Abacus,2021-01-12,AB,,OTH,3,,
7,Abacus,2021-01-12,BC,,LIB,29,,
7,Abacus,2021-01-12,BC,,CON,30,,
7,Abacus,2021-01-12,BC,,NDP,29,,
7,Abacus,2021-01-12,BC,,BQ,,,
7,Abacus,2021-01-12,BC,,GRN,11,,
7,Abacus,2021-01-12,BC,,PPC,0,,
7,Abacus,2021-01-12,BC,,OTH,0,,
7,Abacus,2021-01-12,CAN,,LIB,35,,
7,Abacus,2021-01-12,CAN,,CON,31,,
7,Abacus,2021-01-12,CAN,,NDP,17,,
7,Abacus,2021-01-12,CAN,,BQ,8,,
7,Abacus,2021-01-12,CAN,,GRN,6,,
7,Abacus,2021-01-12,CAN,,PPC,1,,
7,Abacus,2021-01-12,CAN,,OTH,1,,
